NO;ID;CD;D;S;EV;A;AG;SEX;EL;FOA;FSA;EPG;Species
2191;yumin;23;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;711.9021135;Oes
2228;yumin;29;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;1238.709677;Oes
2178;yuu;19;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;815.2173913;Oes
2223;yuu;27;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;716.0493827;Oes
2257;yuu;31;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;448.1792717;Oes
2281;yuu;37;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;1818.181818;Oes
2151;beni;14;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2187;beni;21;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2194;beni;23;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2232;beni;29;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Tri
2128;kanna;9;9;0.52647711;0.04298231;13;adult;female;763;487;3;575.5395683;Tri
2294;kanna;39;9;0.52647711;0.04298231;13;adult;female;763;487;3;563.002681;Tri
2317;kanna;42;9;0.52647711;0.04298231;13;adult;female;763;487;3;673.2117812;Tri
2163;kei;16;10;0.22241973;0.089141396;13;adult;male;2123;442;1;0;Tri
2154;keta;14;2;0.04116302;0.004948504;11;adult;male;1699;42;1;218.1322427;Tri
2241;kibana;30;14;0.76869011;0.43545496;13;adult;female;1234;462;4;350.30104;Tri
2269;kibana;35;14;0.76869011;0.43545496;13;adult;female;1234;462;4;396.6005666;Tri
2287;kibana;38;14;0.76869011;0.43545496;13;adult;female;1234;462;4;348.1288077;Tri
2320;kibana;42;14;0.76869011;0.43545496;13;adult;female;1234;462;4;324.017821;Tri
2171;kinoko;19;19;0.95657616;1;16;adult;female;1094;492;4;1692.307692;Tri
2211;kinoko;25;19;0.95657616;1;16;adult;female;1094;492;4;1655.172414;Tri
2230;kinoko;29;19;0.95657616;1;16;adult;female;1094;492;4;1283.20802;Tri
2319;kinoko;42;19;0.95657616;1;16;adult;female;1094;492;4;1479.569892;Tri
2195;kizu;24;11;0.77821192;0.984627364;11;adult;female;1110;450;4;222.2222222;Tri
2215;kizu;25;11;0.77821192;0.984627364;11;adult;female;1110;450;4;97.18172983;Tri
2260;kizu;32;11;0.77821192;0.984627364;11;adult;female;1110;450;4;56.08131791;Tri
2295;kizu;39;11;0.77821192;0.984627364;11;adult;female;1110;450;4;0;Tri
2131;mikan;10;11;0.46726232;0.38622847;10;adult;female;984;403;4;103.1592521;Tri
2168;mikan;18;11;0.46726232;0.38622847;10;adult;female;984;403;4;190.4761905;Tri
2265;mikan;35;11;0.46726232;0.38622847;10;adult;female;984;403;4;98.88751545;Tri
2323;mikan;42;11;0.46726232;0.38622847;10;adult;female;984;403;4;184.0490798;Tri
2298;minku;40;3;0.09459304;0.076826658;12;adult;male;1295;41;1;0;Tri
2176;mizu;19;13;0.37432529;0.271599354;8;adult;female;888;441;4;0;Tri
2186;mizu;21;13;0.37432529;0.271599354;8;adult;female;888;441;4;0;Tri
2268;mizu;35;13;0.37432529;0.271599354;8;adult;female;888;441;4;0;Tri
2313;mizu;42;13;0.37432529;0.271599354;8;adult;female;888;441;4;0;Tri
2118;muku;1;15;0.40710263;0.309278912;13;adult;female;731;441;4;250;Tri
2142;muku;13;15;0.40710263;0.309278912;13;adult;female;731;441;4;173.4417344;Tri
2150;muku;14;15;0.40710263;0.309278912;13;adult;female;731;441;4;156.25;Tri
2227;muku;29;15;0.40710263;0.309278912;13;adult;female;731;441;4;265.6042497;Tri
2181;okapi;20;17;0.34444186;0.161412423;11;adult;male;1282;448;4;66.00660066;Tri
2208;okapi;25;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Tri
2249;okapi;30;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Tri
2262;okapi;32;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Tri
2132;okura;11;10;0.37667333;0.115712082;10;adult;female;1351;451;4;39.74167909;Tri
2144;okura;14;10;0.37667333;0.115712082;10;adult;female;1351;451;4;112.6760563;Tri
2167;okura;17;10;0.37667333;0.115712082;10;adult;female;1351;451;4;0;Tri
2205;okura;25;10;0.37667333;0.115712082;10;adult;female;1351;451;4;345.5723542;Tri
2139;omoto;12;22;0.76022332;0.655896416;14;adult;female;1338;437;4;56.67729366;Tri
2173;omoto;19;22;0.76022332;0.655896416;14;adult;female;1338;437;4;69.26406926;Tri
2248;omoto;30;22;0.76022332;0.655896416;14;adult;female;1338;437;4;0;Tri
2271;omoto;35;22;0.76022332;0.655896416;14;adult;female;1338;437;4;46.2962963;Tri
2127;serori;9;13;0.27424544;0.260621316;12;adult;female;791;467;4;58.16066885;Tri
2326;serori;44;13;0.27424544;0.260621316;12;adult;female;791;467;4;27.18314645;Tri
2341;serori;48;13;0.27424544;0.260621316;12;adult;female;791;467;4;195.5034213;Tri
2343;serori;49;13;0.27424544;0.260621316;12;adult;female;791;467;4;200.1250782;Tri
2172;shide;19;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Tri
2251;shide;30;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Tri
2273;shide;35;11;0.52355006;0.208498199;12;adult;female;1596;489;4;31.67062549;Tri
2277;shide;36;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Tri
2121;shika;8;21;0.35285222;0.132088877;9;adult;male;1492;471;4;367.816092;Tri
2197;shika;24;21;0.35285222;0.132088877;9;adult;male;1492;471;4;566.0377358;Tri
2283;shika;37;21;0.35285222;0.132088877;9;adult;male;1492;471;4;755.265069;Tri
